FB_ad_spending_congress_2020_dataset
,X.1,names.candidate,office,state_po,district,candidatevotes,totalvotes,loc_identifier,expenditures.candidate,facebook.advertiser,spending,ad_spending,X,year,state,state_fips,state_cen,state_ic,stage,special,party,writein,mode,unofficial,version,foreign_born,median_income,BA_education,HS_education,asian_alone,black_alone,hispanic,multiracial,white_non_hispanic,white_alone,Age_65_plus,median_age,gini,population,vote_share,full_race,winner,total_margin,margin,ad_rate
1,1,A. DONALD MCEACHIN,US HOUSE,VA,4,241142,391345,VA.4,"MCEACHIN, ASTON DONALD",Mceachin For Congress,988770.9,31673,31020,2020,VIRGINIA,51,54,40,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,4.8,62313,24.5,86,2.1,31.8,5.1,3.2,58.3,60.9,19,38.9,0.456838311,739602,0.616187762715762,VA 4 US HOUSE,TRUE,91517,0.233852483103144,0.0320326983733037
3,3,ABBY FINKENAUER,US HOUSE,IA,1,201347,423971,IA.1,"FINKENAUER, ABBY",Finkenauer for Congress,5912075.08,238324,30076,2020,IOWA,19,42,31,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,3.1,52432,24.3,91.4,1.3,3.7,3.6,1.7,89.6,91.9,22.4,38.6,0.445564403,766821,0.474907481879657,IA 1 US HOUSE,FALSE,-10741,-0.0253342799389581,0.0403113960453966
4,4,ABIGAIL DAVIS SPANBERGER,US HOUSE,VA,7,230893,454339,VA.7,"SPANBERGER, ABIGAIL",Spanberger for Congress,7959480.65,295466,31014,2020,VIRGINIA,51,54,40,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,8.1,70645,39.3,90.5,4.7,14.9,5.5,2.9,72.5,75.7,20.3,39.6,0.4817323,760928,0.508195422360836,VA 7 US HOUSE,TRUE,8270,0.0182022674698848,0.0371212661971859
5,5,ADAM B. SCHIFF,US HOUSE,CA,28,244271,336199,CA.28,"SCHIFF, ADAM",Schiff for Congress,10404171.36,1405145,29733,2020,CALIFORNIA,6,93,71,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,41.9,54205,42.1,85.4,13,2.9,25.2,3.8,55.8,67.9,20.2,39.2,0.557476691,708212,0.726566706028275,CA 28 US HOUSE,TRUE,152343,0.45313341205655,0.135055926260715
6,6,ADAM CHRISTENSEN,US HOUSE,FL,3,167326,390401,FL.3,"CHRISTENSEN, ADAM J",Adam J Christensen for Congress,254948.08,49961,29900,2020,FLORIDA,12,59,43,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,7.3,44772,23.8,86.4,3,13.4,8.1,2.6,72.9,79.5,22.3,37.9,0.497783285,707112,0.428600336577007,FL 3 US HOUSE,FALSE,-55749,-0.142799326845987,0.195965390286524
7,7,ADAM KINZINGER,US HOUSE,IL,16,218839,338159,IL.16,"KINZINGER, ADAM",Kinzinger for Congress,1598081.23,13983,30040,2020,ILLINOIS,17,33,21,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,5.1,54822,20.6,89.3,1.2,3.9,9,1.8,84.6,91.5,21.7,40.2,0.457272657,697856,0.647148235001878,IL 16 US HOUSE,TRUE,99526,0.294317170325202,0.00874986811527722
8,8,ADIA WINFREY,US HOUSE,AL,3,104595,322234,AL.3,"WINFREY, ADIA",Winfrey for Congress,41221.09,3266,29651,2020,ALABAMA,1,63,41,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,2.7,40780,19.6,81,1.5,25.6,2.7,1.6,68.3,69.6,20.6,37.4,0.495750689,697761,0.324593307968743,AL 3 US HOUSE,FALSE,-112789,-0.35002203367739,0.079231286702996
9,9,ADRIANO ESPAILLAT,US HOUSE,NY,13,202916,267236,NY.13,"ESPAILLAT, ADRIANO",Adriano Espaillat for Congress,1256042.26,10949,30501,2020,NEW YORK,36,21,13,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,36.3,35157,28,72.2,4,29.3,54.6,5.3,14.3,27.5,16.9,34.4,0.549065162,765391,0.759313864898442,NY 13 US HOUSE,TRUE,183087,0.685113532607882,0.00871706338925252
10,10,ADRIENNE BELL,US HOUSE,TX,14,118574,309115,TX.14,"BELL, ADRIENNE",Adrienne Bell for Congress,245174.73,5505,30876,2020,TEXAS,48,74,49,gen,FALSE,DEMOCRAT,FALSE,TOTAL,FALSE,20210604,10,53184,22.1,84.5,3.1,19.7,23.9,2,52.1,71.7,18.3,36.6,0.512836454,716592,0.383591867104476,TX 14 US HOUSE,FALSE,-71967,-0.232816265791049,0.0224533743750834
11,11,AGNES GIBBONEY,US HOUSE,CA,31,110735,286050,CA.31,"GIBBONEY, AGNES",Agnes Gibboney for Congress,130107.43,3508,29800,2020,CALIFORNIA,6,93,71,gen,FALSE,REPUBLICAN,FALSE,TOTAL,FALSE,20210604,21.6,54168,22.3,78.9,7.3,11.2,51.6,3.8,28.5,63.7,14.1,31.8,0.492963957,725024,0.387117636776787,CA 31 US HOUSE,FALSE,-64580,-0.225764726446425,0.0269623341264984
